img_name,simples_threscholding,simples_threscholding_mean,adaptive_threscholding,adaptive_threscholding_mean,otsu_riddler_threscholding,otsu_riddler_threscholding_mean
healthy-01-roi1,0.5987229289274937,0.5799222747056966,0.4172722521033907,0.4425647327524197,0.5125828812537673,0.5533967567843351
healthy-01-roi2,0.65139542454645,,0.48140809551993,,0.5562911916553315,
healthy-01-roi3,0.646236329850428,,0.4618874038072094,,0.5851124341132304,
healthy-01-roi4,0.6292817755531415,,0.4729790084859312,,0.6055758461163867,
healthy-01-roi5,0.6981979133733797,,0.4788349247784571,,0.5919475424748657,
healthy-02-roi1,0.77451635861712,,0.4939061223039477,,0.669503066051039,
healthy-02-roi2,0.6691744721213232,,0.471655389205605,,0.614499795951294,
healthy-02-roi3,0.7003137797160027,,0.4889000277004656,,0.6010120529575136,
healthy-02-roi4,0.647170373904228,,0.4622022831506908,,0.5383535929726084,
healthy-02-roi5,0.69934321469779,,0.4742929593500142,,0.6399616214919644,
healthy-03-roi1,0.6849214114178981,,0.4750260716834074,,0.5774523109402097,
healthy-03-roi2,0.6386542254142996,,0.4755214924566667,,0.609239014174895,
healthy-03-roi3,0.6162797926172744,,0.4947118383162812,,0.6042851340373679,
healthy-03-roi4,0.6373348721867835,,0.4572139730495236,,0.5804150525125932,
healthy-04-roi1,0.6300200478561728,,0.4583089354725377,,0.6005579931323922,
healthy-04-roi2,0.7196807313809315,,0.5129399101460127,,0.695654258251636,
healthy-04-roi3,0.6943303307830501,,0.5199119755803223,,0.7053321038472141,
healthy-04-roi4,0.7767944198604965,,0.5044392186975092,,0.7508374526083409,
healthy-04-roi5,0.6140586485337867,,0.4845296526290099,,0.5421326410755002,
healthy-05-roi3,0.5417732597280194,,0.4948504423171712,,0.6767203820102009,
healthy-06-roi1,0.59064731628657,,0.4299279258666056,,0.5811676176712431,
healthy-06-roi2,0.5188224592099406,,0.4191468402041852,,0.5177908075434577,
healthy-07-roi1,0.5535705265284817,,0.3994548891461395,,0.49585517880492047,
healthy-07-roi2,0.4161119036297353,,0.4009876864095649,,0.42067245152502947,
